#F FluorYield_xraylib.dat
#UT Atomic Radiative Yields 
#C  This file has been created using FluorYield_xraylib.pro
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD Atomic Radiative Yields 
#UD 
#UD This data set contains Fluorescence yields from a combination
#UD of references used in the xraylib library
#UD http://ftp.esrf.fr/pub/scisoft/xraylib
#UD 
#UD K edge fluorescence yields are:
#UD    Z=3-10 The condensed matter values from Krause
#UD    Z>10 The experimental values reported by Hubbell (Table 4). If
#UD         several values are available, we use the average. 
#UD         For the elements not reported (Z=15,18,43,44,58,64,65,67,68,
#UD         74-79, 81-92) we used the values from Krause
#UD L edge fluorescence yields are:
#UD    L1 are from Krause 
#UD    L2 are from Krause, using the solid state values in Table 1 of
#UD       J. Phys. Chem. Ref. Data 8 307 (1970). Note that these values
#UD       are differents than those published by Krause in the 1978
#UD       ORNL report. 
#UD    L3 are from Krause
#UD Other shell's are not yet implemented
#UD 
#UD Column description:
#UD      1:  K
#UD      2:  L1
#UD      3:  L2
#UD      4:  L3
#UD 
#UD The scan #S 1000 contains the fluorescence yield for K and L shells
#UD for all the elements, where the first column is the Atomic Number Z. 
#UD This is useful to make plots of the values of a given variable as a 
#UD function of Z.
#UD 
#S  3 Li
#N  1
#L  K  
9.0e-5  
#S  4 Be
#N  1
#L  K  
3.3e-4  
#S  5 B 
#N  1
#L  K  
0.0007  
#S  6 C 
#N  1
#L  K  
0.0014  
#S  7 N 
#N  1
#L  K  
0.0031  
#S  8 O 
#N  1
#L  K  
0.0058  
#S  9 F 
#N  1
#L  K  
#N  4
#L  K  L1  L2  L3  
0.844  0.0200000  0.0610000  0.0600000  
#S  50 Sn
#N  4
#L  K  L1  L2  L3  
0.874  0.0370000  0.0650000  0.0640000  
#S  51 Sb
#N  4
#L  K  L1  L2  L3  
0.872  0.0390000  0.0690000  0.0690000  
#S  52 Te
#N  4
#L  K  L1  L2  L3  
0.823  0.0410000  0.0740000  0.0740000  
#S  53 I 
#N  4
#L  K  L1  L2  L3  
0.841  0.0440000  0.0790000  0.0790000  
#S  54 Xe
#N  4
#L  K  L1  L2  L3  
0.889  0.0460000  0.0830000  0.0850000  
#S  55 Cs
#N  4
#L  K  L1  L2  L3  
0.898  0.0490000  0.0900000  0.0910000  
#S  56 Ba
#N  4
#L  K  L1  L2  L3  
0.931  0.0520000  0.0960000  0.0970000  
#S  57 La
#N  4
#L  K  L1  L2  L3  
0.913  0.0550000  0.103000  0.104000  
#S  58 Ce
#N  4
#L  K  L1  L2  L3  
0.912000  0.0580000  0.110000  0.111000  
#S  59 Pr
#N  4
#L  K  L1  L2  L3  
0.930  0.0610000  0.117000  0.118000  
#S  60 Nd
#N  4
#L  K  L1  L2  L3  
0.917  0.0640000  0.124000  0.125000  
#S  61 Pm
#N  4
#L  K  L1  L2  L3  
0.918  0.0660000  0.132000  0.132000  
#S  62 Sm
#N  4
#L  K  L1  L2  L3  
0.913  0.0710000  0.140000  0.139000  
#S  63 Eu
#N  4
#L  K  L1  L2  L3  
0.939  0.0750000  0.149000  0.147000  
#S  64 Gd
#N  4
#L  K  L1  L2  L3  
0.935000  0.0790000  0.158000  0.155000  
#S  65 Tb
#N  4
#L  K  L1  L2  L3  
0.938000  0.0830000  0.167000  0.164000  
#S  66 Dy
#N  4
#L  K  L1  L2  L3  
0.975  0.0890000  0.178000  0.174000  
#S  67 Ho
#N  4
#L  K  L1  L2  L3  
0.944000  0.0940000  0.189000  0.182000  
#S  68 Er
#N  4
#L  K  L1  L2  L3  
0.947000  0.100000  0.200000  0.192000  
#S  69 Tm
#N  4
#L  K  L1  L2  L3  
0.983  0.106000  0.211000  0.201000  
#S  70 Yb
#N  4
#L  K  L1  L2  L3  
0.954  0.112000  0.222000  0.210000  
#S  71 Lu
#N  4
#L  K  L1  L2  L3  
0.951  0.120000  0.234000  0.220000  
#S  72 Hf
#N  4
#L  K  L1  L2  L3  
0.955  0.128000  0.246000  0.231000  
#S  73 Ta
#N  4
#L  K  L1  L2  L3  
0.980  0.137000  0.258000  0.243000  
#S  74 W 
#N  4
#L  K  L1  L2  L3  
0.958000  0.147000  0.270000  0.255000  
