#F f0_EPDL97.dat
#D Mon Sep 30 15:12:40 2002
#UT Elastic Photon-Atom Scattering, nonrelativistic form factors
#UF0TYPE TABLE ; TABLE TABLE_NOR OR PARAMETRIZATION? 
#UIDL xf0
#C  This file has been created using f0_EPDL97.pro on Mon Sep 30 15:12:40 2002
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD Elastic Photon-Atom Scattering, nonrelativistic form factors
#UD 
#UD
#UD 
#UD The form factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://www-rsicc.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD         
#UD The argument for the form factor and scattering function is 
#UD x = sin(theta/2)/lambda, where theta is the photon scattering angle, and 
#UD lambda is its wavelength (cm). 
#UD The EPDL97 data base contains data from 0.0 to 1.0e+17 cm^-1. 
#UD The number of data points ranges from about 100 to 174. 
#UD 
#UD Quoted from the above reference of Cullen et al:
#UD The form factors are those of Hubbell [22,23,24]. Hubbell has 
#UD calculated nonrelativistic, relativistic and modified relativistic 
#UD form factors. Based on Hubbell's recommendation the data included in 
#UD EPDL97 are his nonrelativistic form factors, which are currently the 
#UD most widely used of Hubbell's form factors. 
#UD [22] Hubbell et al, J. Phys. Chem. Ref. Data, 4 471 (1975)
#UD [23] Hubbell et al, J. Phys. Chem. Ref. Data, 7 615 (1977)
#UD      Hubbell & Overbo, J. Phys. Chem. Ref. Data, 8 69 (1979)
#UD [24] Hubbell, Radiat. Phys. Chem. 50 113 (1997)
#UD 
#UD 
#UD Note: The data in this file are from reference [22]: 
#UD   J H Hubbell, W J Veigele, E A Briggs, R T Brown, D T Cromer, R J Howerton
#UD   Atomic form factors, incoherent scattering functions and photon scattering cross sections
#UD   J. Phys. Chem. Ref. Data, 4 471-538 (1975)
#UD 
#UD The atomic form factor and also incoherent scattering factor from  [22] are also 
#UD available in ftp://www-phys.llnl.gov/pub/rayleigh/RTAB/data_NF 
#UD  (RTAB Database: L. Kissel, Radiation physics and chemistry 59 (2000) 185-200)
#UD 
#UD 
#UD  The following two arrays are stored: 
#UD     Column 1: X(1/A) = sin(theta/2)/lambda
#UD     Column 2: f0 = form factor (electron units)
#UD
#UD
#S  1 H 
#N 2
#L X(1/A)  f0
    0.1437500      1.685550 
    0.1500000      1.661200 
    0.1625000      1.610920 
    0.1750000      1.560300 
    0.1875000      1.509490 
    0.1937500      1.484040 
    0.2000000      1.458500 
    0.2125000      1.406680 
    0.2312500      1.328910 
    0.2500000      1.252200 
    0.2625000      1.202060 
    0.2812500      1.128960 
    0.3000000      1.058600 
    0.3125000      1.013310 
    0.3250000     0.9694590 
    0.3343800     0.9374650 
    0.3437500     0.9064460 
    0.3507800     0.8836990 
    0.3718800     0.8182990 
    0.3753900     0.8078460 
    0.4000000     0.7379400 
    0.4250000     0.6727080 
    0.4437500     0.6274720 
    0.4625000     0.5852890 
    0.4718800     0.5653120 
    0.5000000     0.5095300 
    0.5250000     0.4647410 
    0.5500000     0.4241810 
    0.5625000     0.4053510 
    0.6000000     0.3541600 
    0.6437500     0.3032640 
    0.6750000     0.2719400 
    0.6812500     0.2661220 
    0.7000000     0.2495200 
    0.7500000     0.2106580 
    0.8000000     0.1786000 
    0.8500000     0.1520310 
    0.9000000     0.1299500 
    0.9500000     0.1115250 
     1.000000    0.09612000 
     1.062500    0.08025630 
     1.144500    0.06393380 
     1.214800    0.05301640 
     1.250000    0.04840000 
     1.359400    0.03683870 
     1.453100    0.02950720 
     1.500000    0.02651000 
     1.625000    0.02015430 
     1.718800    0.01657500 
     1.859400    0.01254440 
     2.000000   0.009640000 
     2.125000   0.007715150 
     2.312500   0.005629840 
     2.500000   0.004196200 
     2.875000   0.002464570 
     3.000000   0.002093400 
     3.500000   0.001153700 
     4.000000  0.0006855900 
     5.000000  0.0002854300 
     6.000000  0.0001389000 
     7.000000  7.539800E-05 
     8.000000  4.436300E-05 
     10.00000  1.825600E-05 
     15.00000  3.625900E-06 
     20.00000  1.150500E-06 
     50.00000  2.974900E-08 
     80.00000  4.578000E-09 
     100.0000  1.885500E-09 
     183.8600  1.674380E-10 
     262.8100  4.069610E-11 
     308.8900  2.153580E-11 
     395.2800  8.195260E-12 
     503.9400  3.188530E-12 
     594.8800  1.681780E-12 
     696.1600  9.213000E-13 
     804.6800  5.313490E-13 
     934.8900  3.019100E-13 
     1000.000  2.346100E-13 
     1171.400  1.302620E-13 
     1365.400  7.406490E-14 
     1706.700  3.285180E-14 
     2048.600  1.702250E-14 
     2521.700  8.122790E-15 
     3357.900  2.970700E-15 
     4681.900  9.424410E-16 
     6333.900  3.374560E-16 
     8348.700  1.337690E-16 
     13166.00  2.983210E-17 
     19592.00  8.249990E-18 
     35979.00  1.200280E-18 
     82612.00  9.143450E-20 
     287420.0  2.110450E-21 
     1000000.  5.131200E-23 
 2.053500E+07  6.097510E-27 
 1.000000E+09  5.120500E-32 
#S  3 Li
#N 2
