 0.10 0.60 0.000100 0.150
#S  46 Pd
#N  4
#L  F12  F13  FP13  F23
 0.10 0.60 0.00011 0.151
#S  47 Ag
#N  4
#L  F12  F13  FP13  F23
 0.10 0.59 0.00012 0.153
#S  48 Cd
#N  4
#L  F12  F13  FP13  F23
 0.10 0.59 0.00014 0.155
#S  49 In
#N  4
#L  F12  F13  FP13  F23
 0.10 0.59 0.00016 0.157
#S  50 Sn
#N  4
#L  F12  F13  FP13  F23
 0.17 0.27 0.00030 0.157
#S  51 Sb
#N  4
#L  F12  F13  FP13  F23
 0.17 0.28 0.00032 0.156
#S  52 Te
#N  4
#L  F12  F13  FP13  F23
 0.18 0.28 0.00034 0.155
#S  53 I
#N  4
#L  F12  F13  FP13  F23
 0.18 0.28 0.00037 0.154
#S  54 Xe
#N  4
#L  F12  F13  FP13  F23
 0.19 0.28 0.00040 0.154
#S  55 Cs
#N  4
#L  F12  F13  FP13  F23
 0.19 0.28 0.00043 0.154
#S  56 Ba
#N  4
#L  F12  F13  FP13  F23
 0.19 0.28 0.00047 0.153
#S  57 La
#N  4
#L  F12  F13  FP13  F23
 0.19 0.29 0.00051 0.153
#S  58 Ce
#N  4
#L  F12  F13  FP13  F23
 0.19 0.29 0.00055 0.153
#S  59 Pr
#N  4
#L  F12  F13  FP13  F23
 0.19 0.29 0.00060 0.153
#S  60 Nd
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.00066 0.152
#S  61 Pm
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.00072 0.151
#S  62 Sm
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.00079 0.150
#S  63 Eu
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.00087 0.149
#S  64 Gd
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.00096 0.147
#S  65 Tb
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.0011 0.145
#S  66 Dy
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.0012 0.143
#S  67 Ho
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.0013 0.142
#S  68 Er
#N  4
#L  F12  F13  FP13  F23
 0.19 0.30 0.0014 0.140
#S  69 Tm
#N  4
#L  F12  F13  FP13  F23
 0.19 0.29 0.0016 0.139
#S  70 Yb
#N  4
#L  F12  F13  FP13  F23
 0.19 0.29 0.0018 0.138
#S  71 Lu
#N  4
#L  F12  F13  FP13  F23
 0.19 0.28 0.0020 0.136
#S  72 Hf
#N  4
#L  F12  F13  FP13  F23
 0.18 0.28 0.0023 0.135
#S  73 Ta
#N  4
#L  F12  F13  FP13  F23
 0.18 0.28 0.0026 0.134
#S  74 W
#N  4
#L  F12  F13  FP13  F23
 0.17 0.28 0.0028 0.133
#S  75 Re
#N  4
#L  F12  F13  FP13  F23
 0.16 0.33 0.0030 0.130
#S  76 Os
#N  4
#L  F12  F13  FP13  F23
 0.16 0.39 0.0029 0.128
#S  77 Ir
#N  4
#L  F12  F13  FP13  F23
 0.15 0.45 0.0028 0.126
#S  78 Pt
#N  4
#L  F12  F13  FP13  F23
 0.14 0.50 0.0028 0.124
#S  79 Au
#N  4
#L  F12  F13  FP13  F23
 0.14 0.53 0.0028 0.122
#S  80 Hg
#N  4
#L  F12  F13  FP13  F23
 0.13 0.56 0.0030 0.120
#S  81 Tl
#N  4
#L  F12  F13  FP13  F23
 0.13 0.57 0.0032 0.118
#S  82 Pb
#N  4
#L  F12  F13  FP13  F23
 0.12 0.58 0.0035 0.116
#S  83 Bi
#N  4
#L  F12  F13  FP13  F23
 0.11 0.58 0.0038 0.113
#S  84 Po
#N  4
#L  F12  F13  FP13  F23
 0.11 0.58 0.0042 0.111
#S  85 At
#N  4
#L  F12  F13  FP13  F23
 0.10 0.59 0.0047 0.111
#S  86 Rn
#N  4
#L  F12  F13  FP13  F23
 0.10 0.58 0.0052 0.110
#S  87 Fr
#N  4
#L  F12  F13  FP13  F23
 0.10 0.58 0.0058 0.109
#S  88 Ra
#N  4
#L  F12  F13  FP13  F23
 0.09 0.58 0.0064 0.108
#S  89 Ac
#N  4
#L  F12  F13  FP13  F23
 0.09 0.58 0.0071 0.108
#S  90 Th
#N  4
#L  F12  F13  FP13  F23
 0.09 0.57 0.0078 0.108
#S  91 Pa
#N  4
#L  F12  F13  FP13  F23
 0.08 0.58 0.0084 0.139
#S  92 U
#N  4
#L  F12  F13  FP13  F23
 0.08 0.57 0.0097 0.167
#S  93 Np
#N  4
#L  F12  F13  FP13  F23
 0.07 0.57 0.011 0.192
#S  94 Pu
#N  4
#L  F12  F13  FP13  F23
 0.05 0.56 0.013 0.198
#S  95 Am
#N  4
#L  F12  F13  FP13  F23
 0.05 0.55 0.014 0.203
#S  96 Cm
#N  4
#L  F12  F13  FP13  F23
 0.04 0.55 0.016 0.200
#S  97 Bk
#N  4
#L  F12  F13  FP13  F23
 0.04 0.54 0.017 0.198
#S  98 Cf
#N  4
#L  F12  F13  FP13  F23
 0.03 0.54 0.019 0.197
#S  99 Es
#N  4
#L  F12  F13  FP13  F23
 0.03 0.54 0.021 0.196
#S  100 Fm
#N  4
#L  F12  F13  FP13  F23
 0.03 0.53 0.023 0.194
#S  101 Md
#N  4
#L  F12  F13  FP13  F23
 0.02 0.53 0.026 0.191
#S  102 No
#N  4
#L  F12  F13  FP13  F23
 0.02 0.52 0.028 0.189
#S  103 Lr
#N  4
#L  F12  F13  FP13  F23
 0.01 0.53 0.030 0.185
#S  104 Rf
#N  4
#L  F12  F13  FP13  F23
 0.01 0.52 0.033 0.181
#S  105 Ha
#N  4
#L  F12  F13  FP13  F23
 0.01 0.51 0.035 0.178
#S  106 Sg
#N  4
#L  F12  F13  FP13  F23
 -9999 0.51 0.038 0.174
#S  107 Ns
#N  4
#L  F12  F13  FP13  F23
 -9999 0.50 0.042 0.171
#S  108 Hs
#N  4
#L  F12  F13  FP13  F23
 -9999 0.50 0.046 0.165
#S  109 Mt
#N  4
#L  F12  F13  FP13  F23
