#F Neutron_SLCS_NeutronNews.dat
#UT Neutron Scattering Lengths and Cross Sections
#UIDL nmirror
#UD Neutron Scattering Lengths and Cross Sections
#UD 
#UD All of these data were taken from the Special Feature section of
#UD neutron scattering lengths and cross sections of the elements and
#UD their isotopes in Neutron News, Vol. 3, No. 3, 1992, pp.  29-37.
#UD 
#UD The contents of the columns are as follows:
#UD 
#UD For the elements: 
#UD Column	Label	         Quantity	
#UD 
#UD     1	NatAb/HalfLife   Natural abundance (For radioisotopes the half-life is given instead)
#UD     2       b_coh_real[fm]   Real part of the bound coherent scattering length in fermi
#UD     3	b_coh_imag[fm]	 Imaginary part of the bound coherent scattering length in fermi
#UD     4	b_incoh_real[fm] Real part of the bound incoherent scattering length in fermi
#UD     5	Sigma_Coh[barn]	    bound coherent scattering cross section in barn
#UD     6	Sigma_Incoh[barn]   bound incoherent scattering cross section in barn
#UD     7	Sigma_Scat[barn]    total bound scattering cross section in barn
#UD     8	Sigma_Abs[barn]	    absorption cross section for 2200 m/s neutrons in barn
#UD 
#UD For the isotopes: 
#UD 
#UD     1	NatAb/HalfLife   Natural abundance (For radioisotopes the half-life is given instead)
#UD     2       b_coh_real[fm]   Real part of the bound coherent scattering length in fermi
#UD     3	b_coh_imag[fm]	 Imaginary part of the bound coherent scattering length in fermi
#UD     4	b_incoh_real[fm] Real part of the bound incoherent scattering length in fermi
#UD     5(new!) b_incoh_imag[fm] Imaginary part of the bound incoherent scattering length in fermi
#UD     6	Sigma_Coh[barn]	    bound coherent scattering cross section in barn
#UD     7	Sigma_Incoh[barn]   bound incoherent scattering cross section in barn
#UD     8	Sigma_Scat[barn]    total bound scattering cross section in barn
#UD     9	Sigma_Abs[barn]	    absorption cross section for 2200 m/s neutrons in barn
#UD 
#UD 
#UD Note: 1fm=1E-15 m, 1barn=1E-24 cm^2, scattering lengths and cross sections in 
#UD parenthesis are uncertainties (not reported)
#UD 
#UD
#S  1    natural.H 
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	3.449	0	0.256	1.495	0.0082	1.503	0.231
#S  14   natural.Si 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	4.1491	0	9999	2.163	0.004	2.167	0.171
#S  15   natural.P 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	5.13	0	0.2	3.307	0.005	3.312	0.172
#S  16   natural.S 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	2.847	0	9999	1.0186	0.007	1.026	0.53
#S  17   natural.Cl 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	9.577	0	9999	11.5257	5.3	16.8	33.5
#S  18   natural.Ar 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	1.909	0	9999	0.458	0.225	0.683	0.675
#S  19   natural.K 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	3.67	0	9999	1.69	0.27	1.96	2.1
