#F CrossSec_Compton_IntegrXop.dat
#C  This file has been created using CrossSec_Compton.pro on Mon Feb  3 12:10:30 2003
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#D Mon Feb  3 12:10:30 2003
#UIDL xcrosssec
#UT Compton Cross Sections (Integrated from inelastic scattering functions)
#UD Compton Cross Sections (Integrated from inelastic scattering functions)
#UD
#UD
#UD
#UD Data in this file has been calculated by doing: 
#UD    i) using the Klein-Nishina formula of cross section versus theta
#UD        in a grid of 360 pts in [0,pi]rad (using code kn_angle.pro)
#UD        See for example the formula 16 in Davisson & Evans, 
#UD        Rev Mod Phys, 24 (1952) 79-109
#UD    ii) use the XOP inelastic scattering function (calculated using isf_calc_rib.pro)
#UD        versus x, where x=sin(theta)/lambda, lambda is the incident photon wavelength.
#UD    iii) Multiply i) times ii) times 2*pi*sin(theta) and integrate numerically
#UD       using int_tabulated.pro
#UD
#UD
#UD 
#UD The Compton cross sections is calculated in the energy range 
#UD 10 eV to 10 MeV in a 500 points logarithmic grid for the elements 
#UD Z = 1 - 90.
#UD
#UD
#UD Column description 
#UD 1: PhotonEnergy[kev]
#UD 2: Compton(incoherent)[barn/atom] 
#UD
#S   1 H 
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
       1.1698664     0.031024080
       1.2027083     0.034945501
       1.2364722     0.039192903
       1.2711840     0.043775126
       1.3068702     0.048699757
       1.3435583     0.053973046
       1.3812763     0.059599843
       1.4200532     0.065583526
       1.4599187     0.071925942
       1.5009033     0.078627350
       1.5430385     0.085686368
       1.5863565     0.093099914
       1.6308907      0.10086316
       1.6766750      0.10896947
       1.7237447      0.11741035
       1.7721358      0.12617542
       1.8218853      0.13525231
       1.8730315      0.14462664
       1.9256136      0.15428195
       1.9796718      0.16419969
       2.0352475      0.17435941
       2.0923835      0.18473917
       2.1511234      0.19531589
       2.2115124      0.20606567
       2.2735967      0.21696400
       2.3374239      0.22798600
       2.4030429      0.23910663
       2.4705041      0.25030078
       2.5398591      0.26154349
       2.6111611      0.27281001
       2.6844648      0.28407596
       2.7598264      0.29531743
       2.8373036      0.30651108
       2.9169559      0.31763421
       2.9988442      0.32866492
       3.0830315      0.33958214
       3.1695821      0.35036574
       3.2585625      0.36099664
       3.3500408      0.37145685
       3.4440873      0.38172957
       3.5407739      0.39179927
       3.6401748      0.40165173
       3.7423663      0.41127412
       3.8474266      0.42065502
       3.9554362      0.42978449
       4.0664781      0.43865407
       4.1806372      0.44725680
       4.2980012      0.45558718
       4.4186600      0.46364122
       4.5427060      0.47141634
       4.6702344      0.47891135
       4.8013429      0.48612637
       4.9361321      0.49306276
       5.0747052      0.49972300
       5.2171686      0.50611064
       5.3636313      0.51223011
       5.5142057      0.51808665
       5.6690073      0.52368617
       5.8281546      0.52903513
       5.9917697      0.53414039
       6.1599780      0.53900911
       6.3329084      0.54364864
       6.5106936      0.54806641
       6.6934697      0.55226983
       6.8813770      0.55626624
       7.0745594      0.56006280
       7.2731651      0.56366649
       7.4773463      0.56708404
       7.6872595      0.57032192
       7.9030657      0.57338630
       8.1249302      0.57628312
       8.3530232      0.57901799
       8.5875195      0.58159629
       8.8285988      0.58402314
       9.0764461      0.58630343
       9.3312512      0.58844183
       9.5932095      0.59044282
       9.8625218      0.59231070
       10.139395      0.59404961
       10.424040      0.59566351
       10.716676      0.59715625
       11.017528      0.59853153
       11.326826      0.59979293
       11.644806      0.60094390
       11.971713      0.60198780
       12.307798      0.60292783
       12.653318      0.60376713
       13.008537      0.60450869
       13.373729      0.60515540
       13.749172      0.60571007
       14.135156      0.60617535
       14.531975      0.60655384
       14.939935      0.60684800
       15.359347      0.60706019
       15.790533      0.60719269
       16.233824      0.60724764
       16.689560      0.60722712
       17.158090      0.60713309
       17.639773      0.60696743
       18.134978      0.60673191
       18.644085      0.60642821
       19.167485      0.60605794
       19.705578      0.60562261
       20.258777      0.60512365
       20.827506      0.60456241
       21.412202      0.60394017
       22.013311      0.60325811
       22.631296      0.60251736
       23.266629      0.60171899
       23.919798      0.60086398
       24.591304      0.59995326
       25.281661      0.59898771
       25.991399      0.59796814
       26.721062      0.59689529
       27.471208      0.59576990
       28.242413      0.59459261
       29.035269      0.59336404
       29.850382      0.59208477
       30.688379      0.59075533
       31.549901      0.58937623
       32.435608      0.58794793
       33.346180      0.58647088
       34.282315      0.58494547
       35.244730      0.58337209
       36.234163      0.58175111
       37.251373      0.58008286
       38.297139      0.57836768
       39.372263      0.57660586
       40.477570      0.57479772
       41.613906      0.57294352
       42.782142      0.57104356
       43.983175      0.56909811
       45.217924      0.56710744
       46.487337      0.56507182
       47.792386      0.56299152
       49.134073      0.56086681
       50.513425      0.55869797
       51.931499      0.55648528
       53.389384      0.55422905
       54.888196      0.55192956
       56.429085      0.54958714
       58.013231      0.54720213
       59.641849      0.54477485
       61.316188      0.54230567
       63.037532      0.53979498
       64.807198      0.53724316
       66.626545      0.53465063
       68.496967      0.53201783
       70.419898      0.52934521
       72.396811      0.52663328
       74.429223      0.52388253
