#F XAFS_McKale.dat
#UT McKale XAFS phases.
#U3W Sheet_McKale
#UIDL xmckale
#C  This file has been created using XAFS_McKale.pro on Tue Sep  3 14:53:00 1996
#UD McKale XAFS phases.
#UD 
#UD McKale XAFS phases K and L edges, and for  two values
#UD of R: R=2.5 A  (250 in the scan title) and R=4.0 A
#UD (400 in the scan title).
#UD Reference: 
#UD McKale A.G., Veal B.W., Paulikas A.P., Chan S.K. 
#UD and Knapp G.S. (1988) J. Amer.Chem.Soc. 110,3763
#UD Column description: 1: k(wavenumber A^-1), 
#UD    2: phase as photoabsorber, 3: modulus, 4: phase.
#UD 
#S 5  B K 250
#N 4
#L  K  FC  M  F
  13.00000  -9.93368   0.03364  -2.97762
  14.00000 -10.03734   0.02749  -3.24650
  15.00000 -10.14868   0.02397  -3.25333
  16.00000 -10.25569   0.02105  -3.41774
  17.00000 -10.36269   0.01811  -3.58358
  18.00000 -10.46969   0.01614  -3.55388
  19.00000 -10.57668   0.01456  -3.78637
#S 5  B L 400
#N 4
#L  K  FC  M  F
   1.50000  -6.59320   1.23686   0.62388
   1.60000  -6.63039   1.22533   0.48059
   1.70000  -6.66758   1.21127   0.35192
   1.80000  -6.70477   1.19382   0.23661
   2.00000  -6.77914   1.14674   0.04231
   2.20000  -6.85352   1.08165  -0.10855
   2.40000  -6.92789   0.99894  -0.21864
   2.60000  -7.00227   0.90103  -0.30287
   2.80000  -7.07665   0.79414  -0.36751
   3.00000  -7.15102   0.68725  -0.42424
   3.20000  -7.22540   0.58943  -0.48484
   3.40000  -7.29977   0.50747  -0.55853
   3.60000  -7.37415   0.44459  -0.64913
   3.80000  -7.44852   0.40042  -0.75309
   4.00000  -7.52247   0.37158  -0.86104
   4.20000  -7.59433   0.35290  -0.96292
   4.40000  -7.65523   0.33896  -1.05269
   4.60000  -7.71890   0.33029  -1.10309
   4.80000  -7.80237   0.31204  -1.16427
   5.00000  -7.90890   0.28997  -1.22051
   5.60000  -8.26741   0.21293  -1.40136
   6.00000  -8.47028   0.17057  -1.55382
   6.50000  -8.63024   0.14127  -1.74948
   7.00000  -8.76552   0.12940  -1.89016
   7.50000  -8.91478   0.11845  -1.98965
   8.00000  -9.07719   0.10099  -2.10304
   9.00000  -9.28771   0.06901  -2.42826
  10.00000  -9.49438   0.06099  -2.53462
  11.00000  -9.65968   0.04564  -2.79861
  12.00000  -9.80292   0.03876  -2.95457
  13.00000  -9.93368   0.03311  -3.04155
  14.00000 -10.03734   0.02706  -3.29814
  15.00000 -10.14868   0.02411  -3.31565
  16.00000 -10.25569   0.02058  -3.46714
  17.00000 -10.36269   0.01812  -3.62777
  18.00000 -10.46969   0.01612  -3.60675
  19.00000 -10.57668   0.01434  -3.82502
#S 6  C K 250
#N 4
