#F CrossSec_Compton_KleinNishina.dat
#C  This file has been created using CrossSec_Compton_KleinNishina.pro on Fri Jan 31 16:16:03 2003
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#D Fri Jan 31 16:16:03 2003
#UIDL xcrosssec
#UT Compton Cross Sections from Klein-Nishina formula 
#UD Compton Cross Sections from Klein-Nishina formula 
#UD
#UD
#UD
#UD Data in this file has been calculated using the Klein-Nishina
#UD formula. It is valid for describing the Compton scattering by
#UD free electrons.
#UD 
#UD See for example the formula 19 in: 
#UD      Davisson & Evans, Rev Mod Phys, 24 (1952) 79-109
#UD
#UD 
#UD The Compton cross sections is calculated in the energy range 
#UD 1 keV to 10 MeV in a 100 points logarithmic grid for the elements 
#UD Z = 1 - 90.
#UD
#UD Note that the curve for all elements is the same except the  
#UD proportionality factor Z
#UD
#UD
#UD Column description 
#UD 1: PhotonEnergy[kev]
#UD 2: Compton(incoherent)[barn/atom] 
#UD
#S   1 H 
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
       2.7598264      0.65827875
       2.8373036      0.65808255
       2.9169559      0.65788101
       2.9988442      0.65767397
       3.0830315      0.65746130
       3.1695821      0.65724285
       3.2585625      0.65701846
       3.3500408      0.65678798
       3.4440873      0.65655125
       3.5407739      0.65630810
       3.6401748      0.65605838
       3.7423663      0.65580190
       3.8474266      0.65553850
       3.9554362      0.65526799
       4.0664781      0.65499019
       4.1806372      0.65470491
       4.2980012      0.65441196
       4.4186600      0.65411114
       4.5427060      0.65380226
       4.6702344      0.65348510
       4.8013429      0.65315946
       4.9361321      0.65282512
       5.0747052      0.65248186
       5.2171686      0.65212946
       5.3636313      0.65176768
       5.5142057      0.65139629
       5.6690073      0.65101506
       5.8281546      0.65062373
       5.9917697      0.65022206
       6.1599780      0.64980979
       6.3329084      0.64938665
       6.5106936      0.64895240
       6.6934697      0.64850674
       6.8813770      0.64804941
       7.0745594      0.64758013
       7.2731651      0.64709859
       7.4773463      0.64660452
       7.6872595      0.64609761
       7.9030657      0.64557756
       8.1249302      0.64504405
       8.3530232      0.64449677
       8.5875195      0.64393540
       8.8285988      0.64335961
       9.0764461      0.64276907
       9.3312512      0.64216343
       9.5932095      0.64154236
       9.8625218      0.64090549
       10.139395      0.64025249
       10.424040      0.63958297
       10.716676      0.63889658
       11.017528      0.63819295
       11.326826      0.63747169
       11.644806      0.63673242
       11.971713      0.63597475
       12.307798      0.63519829
       12.653318      0.63440265
       13.008537      0.63358740
       13.373729      0.63275216
       13.749172      0.63189650
       14.135156      0.63102001
       14.531975      0.63012226
       14.939935      0.62920283
       15.359347      0.62826129
       15.790533      0.62729721
       16.233824      0.62631015
       16.689560      0.62529966
       17.158090      0.62426532
       17.639773      0.62320667
       18.134978      0.62212327
       18.644085      0.62101467
       19.167485      0.61988042
       19.705578      0.61872007
       20.258777      0.61753316
       20.827506      0.61631926
       21.412202      0.61507790
       22.013311      0.61380864
       22.631296      0.61251103
       23.266629      0.61118462
       23.919798      0.60982897
       24.591304      0.60844363
       25.281661      0.60702818
       25.991399      0.60558218
       26.721062      0.60410520
       27.471208      0.60259682
       28.242413      0.60105662
       29.035269      0.59948420
       29.850382      0.59787915
       30.688379      0.59624108
       31.549901      0.59456962
       32.435608      0.59286438
       33.346180      0.59112502
       34.282315      0.58935117
       35.244730      0.58754250
       36.234163      0.58569870
       37.251373      0.58381944
       38.297139      0.58190445
       39.372263      0.57995344
       40.477570      0.57796615
       41.613906      0.57594235
       42.782142      0.57388181
       43.983175      0.57178434
       45.217924      0.56964975
       46.487337      0.56747788
       47.792386      0.56526860
       49.134073      0.56302180
       50.513425      0.56073740
       51.931499      0.55841532
       53.389384      0.55605554
       54.888196      0.55365805
       56.429085      0.55122287
       58.013231      0.54875005
       59.641849      0.54623967
       61.316188      0.54369184
       63.037532      0.54110670
       64.807198      0.53848442
       66.626545      0.53582520
       68.496967      0.53312928
       70.419898      0.53039694
       72.396811      0.52762847
       74.429223      0.52482420
       76.518692      0.52198452
       78.666818      0.51910982
       80.875249      0.51620053
       83.145678      0.51325714
       85.479845      0.51028015
       87.879540      0.50727009
       90.346602      0.50422755
       92.882923      0.50115311
       95.490446      0.49804743
       98.171170      0.49491116
       100.92715      0.49174502
       103.76050      0.48854973
       106.67339      0.48532606
       109.66806      0.48207478
       112.74680      0.47879673
       115.91196      0.47549275
       119.16598      0.47216369
       122.51136      0.46881047
       125.95065      0.46543398
       129.48649      0.46203518
       133.12159      0.45861501
       136.85874      0.45517445
       140.70081      0.45171449
       144.65073      0.44823614
       148.71155      0.44474041
       152.88636      0.44122834
       157.17837      0.43770096
       161.59088      0.43415932
       166.12725      0.43060447
       170.79098      0.42703746
       175.58563      0.42345936
       180.51489      0.41987122
       185.58252      0.41627409
       190.79242      0.41266903
       196.14858      0.40905707
       201.65510      0.40543925
       207.31621      0.40181661
       213.13625      0.39819015
       219.11967      0.39456088
       225.27106      0.39092979
       231.59515      0.38729785
       238.09677      0.38366601
       244.78092      0.38003522
       251.65271      0.37640638
       258.71741      0.37278040
       265.98044      0.36915814
       273.44737      0.36554046
       281.12392      0.36192818
       289.01597      0.35832210
       297.12958      0.35472300
       305.47097      0.35113162
       314.04652      0.34754870
       322.86282      0.34397493
       331.92662      0.34041097
       341.24487      0.33685747
       350.82471      0.33331505
       360.67350      0.32978429
       370.79876      0.32626576
       381.20828      0.32276000
       391.91002      0.31926751
       402.91220      0.31578878
       414.22325      0.31232427
       425.85183      0.30887443
       437.80686      0.30543965
       450.09751      0.30202034
       462.73320      0.29861685
       475.72361      0.29522954
       489.07871      0.29185874
       502.80873      0.28850475
       516.92419      0.28516786
       531.43592      0.28184834
       546.35504      0.27854645
       561.69298      0.27526244
       577.46152      0.27199652
       593.67272      0.26874891
       610.33903      0.26551981
       627.47321      0.26230940
       645.08841      0.25911788
       663.19812      0.25594539
       681.81623      0.25279212
       700.95701      0.24965819
       720.63513      0.24654377
       740.86568      0.24344899
       761.66417      0.24037398
       783.04654      0.23731887
       805.02918      0.23428378
       827.62895      0.23126883
       850.86316      0.22827414
       874.74963      0.22529982
       899.30667      0.22234598
       924.55311      0.21941274
       950.50830      0.21650019
       977.19213      0.21360845
       1004.6251      0.21073761
       1032.8281      0.20788780
       1061.8229      0.20505910
       1091.6317      0.20225162
       1122.2774      0.19946547
       1153.7833      0.19670075
       1186.1737      0.19395756
       1219.4734      0.19123600
       1253.7080      0.18853618
       1288.9036      0.18585819
       1325.0873      0.18320213
       1362.2868      0.18056812
       1400.5305      0.17795623
       1439.8480      0.17536658
       1480.2691      0.17279925
       1521.8251      0.17025435
       1564.5476      0.16773196
       1608.4695      0.16523219
       1653.6244      0.16275510
       1700.0470      0.16030080
       1747.7728      0.15786937
       1796.8384      0.15546089
       1847.2814      0.15307544
       1899.1406      0.15071309
       1952.4556      0.14837391
       2007.2673      0.14605797
       2063.6178      0.14376534
       2121.5502      0.14149606
       2181.1089      0.13925021
       2242.3397      0.13702783
       2305.2894      0.13482895
       2370.0063      0.13265363
       2436.5400      0.13050190
       2504.9415      0.12837378
       2575.2633      0.12626930
       2647.5593      0.12418848
       2721.8848      0.12213132
       2798.2969      0.12009785
       2876.8541      0.11808804
       2957.6167      0.11610191
       3040.6465      0.11413944
       3126.0072      0.11220060
       3213.7643      0.11028537
       3303.9851      0.10839373
       3396.7386      0.10652563
       3492.0960      0.10468104
       3590.1304      0.10285989
       3690.9169      0.10106214
       3794.5328     0.099287722
       3901.0576     0.097536566
       4010.5729     0.095808597
       4123.1626     0.094103735
       4238.9131     0.092421892
